;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
3;1,29;9,03;26,0;2,26;7467,0;5,64;0,2;1,04;30,0;0,0625;4,93;0,9;0,2;0,2;1,46;9,06;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;1,2407143492101627;3,4200768833738;6,7047181158892775;11,083236583562897;2083,3333333333335;644,1182405165455
4;0,86;9,73;28,0;2,44;8072,0;6,44;0,2;1,01;30,0;0,0625;6,79;1,07;0,39;0,2;1,45;18,93;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,5938125728390954;1,6368672246892038;3,2089142171134104;5,304496748393019;2083,3333333333335;750,8071025020178
5;0,76;10,37;30,0;2,63;8677,0;8,29;0,2;1,13;30,0;0,0625;7,67;1,04;0,36;0,2;0,95;18,83;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,5969661181011192;1,6455600936466612;3,225955715876626;5,33266720377482;2083,3333333333335;872,2886400322841
6;0,56;11,1;32,0;2,81;9281,0;9,34;0,2;1,11;30,0;0,0625;9,68;1,15;0,2;0,2;1,88;11,13;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;1,0099615457182456;2,7839978942827157;5,4577489784327815;9,02193382273853;2083,3333333333335;995,7753228410008
7;0,64;11,78;34,0;2,99;9886,0;10,04;0,2;1,05;30,0;0,0625;10,46;1,09;0,2;0,2;1,38;11,78;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,9542336166251337;2,630381711661004;5,156599841252705;8,524119138122229;2083,3333333333335;1127,4339184826474
8;0,56;12,42;36,0;3,17;10491,0;11,08;0,2;1,03;30,0;0,0625;11,92;1,11;0,2;0,2;1,4;12,45;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,9028812854493233;2,488827033202139;4,8790960746953305;8,065391441532519;2083,3333333333335;1267,2644269572236
9;0,55;13,2;38,0;3,36;11096,0;12,74;0,2;1,06;30,0;0,0625;13,22;1,1;0,2;0,2;1,35;13,15;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,8548191637904239;2,356341943982253;4,619372329274285;7,63605501498706;2083,3333333333335;1423,7288135593217
10;0,53;13,77;40,0;3,54;11701,0;14,52;0,19;1,09;30,0;0,0625;14,22;1,06;0,2;0,19;1,75;13,81;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,8139661117917505;2,243728932901276;4,398605802314037;7,27111683179434;2083,3333333333335;1580,357142857143
11;0,58;14,53;42,0;3,72;12306,0;15,45;0,2;1,04;30,0;0,0625;14,41;0,97;0,19;0,2;2,37;14,5;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,7752325519892466;2,136958383680457;4,1892928365487485;6,925111961867575;2083,3333333333335;1745,1573849878937
12;0,45;15,17;44,0;3,91;12911,0;17,52;0,19;1,07;30,0;0,0625;15,88;0,97;0,19;0,19;2,27;15,17;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,7409935401347445;2,0425772289628625;4,0042680375713156;6,6192566543889155;2083,3333333333335;1927,9787126715094
13;0,55;15,89;46,0;4,09;13516,0;19,77;0,19;1,11;30,0;0,0625;17,38;0,97;0,19;0,19;2,79;15,84;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,7096510103436916;1,9561803385963779;3,834895589012428;6,33927547014393;2083,3333333333335;2109,5767756255045
14;0,82;16,5;48,0;4,27;14121,0;20,88;0,19;1,07;30,0;0,0625;19,21;0,99;0,19;0,19;3,04;16,49;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,6816781081773242;1,8790719565413359;3,6837323305007197;6,089394993758633;2083,3333333333335;2299,346751412429
