91,613.59,0
11185,83.33,586.52,0
11197,83.33,460.91,0
11208,90.91,467.66,0
11219,90.91,591.76,0
11231,83.33,719.73,0
11242,90.91,721.05,0
11253,90.91,590.26,0
11266,76.92,467.36,0
11277,90.91,465.88,0
11288,90.91,588.59,0
11299,90.91,720.07,0
11311,83.33,725.04,0
11323,90.91,595.65,0
11334,83.33,466.79,0
11345,90.91,461.55,0
11357,83.33,587.06,0
11368,90.91,719.52,0
11379,90.91,725.39,0
11392,76.92,597.55,0
11403,90.91,468.97,0
11414,90.91,462.92,0
11425,90.91,582.04,0
11437,83.33,716.72,0
11448,90.91,724.45,0
11460,83.33,598.59,0
11471,90.91,470.38,0
11483,83.33,460.84,0
11494,90.91,577.07,0
11505,90.91,712.02,0
11516,90.91,730.20,0
11529,76.92,605.80,0
11540,90.91,472.72,0
11551,90.91,459.68,0
11563,83.33,575.62,0
11574,90.91,712.53,0
11585,90.91,730.06,0
11597,83.33,606.20,0
11609,83.33,474.50,0
11620,90.91,461.67,0
11631,90.91,576.77,0
11642,90.91,712.33,0
11654,83.33,731.02,0
11666,83.33,607.98,0
11677,90.91,474.85,0
11688,90.91,458.09,0
11700,83.33,570.19,0
11711,90.91,711.09,0
11723,90.91,732.60,0
11735,76.92,610.90,0
11746,90.91,477.19,0
11757,90.91,459.79,0
11768,90.91,568.95,0
11780,83.33,704.47,0
11792,90.91,728.66,0
11803,83.33,610.50,0
11814,90.91,476.80,0
11826,83.33,457.28,0
11837,90.91,566.67,0
11848,90.91,706.04,0
11860,83.33,733.59,0
11872,83.33,616.83,0
11883,90.91,482.00,0
11894,90.91,455.79,0
11906,83.33,561.92,0
11917,90.91,706.19,0
11929,83.33,737.65,0
11940,90.91,620.88,0
11952,83.33,485.39,0
11963,90.91,459.30,0
11974,90.91,561.17,0
11985,90.91,698.74,0
11998,76.92,732.45,0
12009,90.91,621.80,0
12020,90.91,484.85,0
12032,83.33,455.38,0
12043,90.91,557.75,0
12054,90.91,698.63,0
12066,83.33,738.22,0
12078,83.33,627.21,0
12089,90.91,487.16,0
12100,90.91,454.71,0
12111,90.91,557.53,0
12123,83.33,697.97,0
12135,83.33,733.65,0
12146,90.91,624.97,0
12157,90.91,486.07,0
12169,83.33,450.75,0
12180,90.91,552.34,0
12192,90.91,695.11,0
12204,76.92,735.95,0
12215,90.91,632.71,0
12226,90.91,489.81,0
12237,90.91,450.61,0
12249,83.33,549.61,0
12261,83.33,693.56,0
12272,90.91,737.76,0
12283,90.91,632.72,0
12295,83.33,491.23,0
12306,90.91,450.17,0
12317,90.91,543.43,0
12329,83.33,689.17,0
12341,83.33,738.12,0
12352,90.91,634.96,0
12363,90.91,494.07,0
12375,83.33,452.27,0
12386,90.91,544.12,0
12398,83.33,684.98,0
12409,90.91,735.28,0
